student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
76,11.7,70.0,No,100,Pass
77,14.5,63.1,No,42,Pass
78,9.2,86.4,No,67,Fail
79,10.1,69.3,Yes,56,Pass
80,9.2,76.0,Yes,63,Pass
81,15.4,96.0,No,82,Fail
82,12.6,65.0,No,82,Pass
83,8.8,64.8,Yes,52,Fail
84,15.3,83.9,Yes,79,Pass
85,8.9,91.7,No,58,Pass
86,13.4,80.3,No,69,Pass
87,12.1,75.6,Yes,82,Pass
88,10.2,81.6,No,45,Fail
89,13.0,83.6,Yes,91,Pass
90,4.3,62.2,No,79,Fail
91,4.9,70.7,Yes,85,Fail
92,9.9,62.2,Yes,97,Fail
93,13.2,55.3,No,54,Pass
94,15.5,75.9,Yes,75,Pass
95,14.2,72.8,No,82,Pass
96,10.7,65.9,No,79,Fail
97,14.7,71.3,No,97,Pass
98,14.3,72.5,Yes,93,Fail
99,13.2,76.1,Yes,57,Pass
100,12.6,61.7,No,60,Fail
101,5.0,57.5,No,84,Pass
102,6.6,70.7,No,74,Fail
103,4.7,91.6,No,97,Fail
104,15.4,51.0,No,70,Pass
105,8.2,87.7,No,74,Fail
106,10.6,80.2,Yes,71,Pass
107,9.2,51.5,No,82,Fail
108,8.9,58.3,No,98,Pass
109,11.5,51.3,No,77,Pass
110,4.3,82.1,Yes,95,Fail
111,4.6,69.0,Yes,69,Fail
112,13.1,69.0,No,56,Fail
113,9.6,87.5,Yes,100,Pass
114,11.8,89.1,Yes,88,Pass
115,7.0,92.0,Yes,55,Pass
116,12.0,78.2,Yes,69,Fail
117,13.2,58.4,Yes,89,Fail
118,15.6,55.4,Yes,99,Pass
119,12.1,97.9,No,100,Fail
120,4.9,84.5,Yes,46,Fail
121,7.6,84.2,Yes,90,Fail
122,13.4,67.4,No,82,Pass
123,10.1,67.1,No,92,Pass
124,9.2,68.1,No,85,Pass
125,6.1,76.1,No,79,Fail
126,10.5,74.2,No,92,Fail
127,7.2,92.6,Yes,57,Fail
128,6.9,73.2,No,61,Pass
129,14.2,59.1,Yes,62,Fail
130,8.1,94.0,No,75,Pass
131,15.4,54.3,No,71,Pass
132,6.9,73.8,No,68,Fail
133,5.1,61.1,Yes,59,Fail
134,8.4,77.7,No,67,Fail
135,10.6,67.6,No,57,Pass
136,6.8,86.1,No,47,Fail
137,15.4,84.5,Yes,53,Fail
138,7.3,79.5,No,46,Fail
139,7.6,68.0,No,40,Fail
140,5.5,52.3,Yes,75,Pass
141,15.3,81.9,No,46,Fail
142,10.9,73.5,No,61,Pass
143,4.6,97.1,No,47,Fail
144,8.8,53.7,Yes,49,Pass
145,10.8,65.2,Yes,47,Fail
146,9.0,79.8,Yes,89,Pass
147,9.4,72.1,No,59,Pass
148,4.7,98.0,Yes,100,Fail
149,11.5,63.2,Yes,50,Pass
150,10.6,57.8,No,68,Fail
151,9.6,51.6,No,85,Pass
152,14.3,53.6,Yes,99,Pass
153,13.5,79.5,Yes,67,Pass
154,6.7,57.4,No,92,Pass
155,4.7,89.6,No,68,Pass
156,12.3,85.0,No,72,Pass
157,9.3,79.9,No,87,Pass
158,7.0,54.6,Yes,88,Fail
159,7.2,52.0,Yes,70,Fail
160,9.3,63.9,No,80,Fail
161,15.6,73.5,No,61,Pass
162,5.3,58.0,No,84,Fail
163,12.0,70.0,Yes,69,Pass
164,7.0,55.8,No,95,Fail
165,15.9,82.9,No,66,Pass
166,10.2,81.1,No,80,Pass
167,4.6,63.4,Yes,99,Pass
168,14.6,74.2,Yes,80,Fail
169,6.9,57.9,Yes,75,Fail
170,6.7,92.1,Yes,69,Fail
171,11.8,57.7,No,72,Fail
172,9.0,74.1,No,55,Fail
173,5.7,59.5,Yes,95,Pass
174,13.3,92.7,No,99,Fail
175,7.2,50.1,No,93,Fail
176,16.0,74.5,Yes,68,Pass
177,8.1,77.6,No,69,Fail
178,14.4,99.0,Yes,76,Pass
179,14.3,70.5,No,87,Pass
180,15.0,69.1,Yes,71,Fail
181,5.5,98.3,No,95,Pass
182,14.1,55.0,No,40,Fail
183,8.9,82.7,Yes,44,Fail
184,15.6,66.9,No,81,Pass
185,7.9,83.7,No,60,Fail
186,14.6,74.4,Yes,79,Pass
187,11.6,96.0,Yes,87,Pass
188,15.7,88.0,Yes,68,Pass
189,7.6,51.4,No,90,Pass
190,8.3,71.5,Yes,73,Pass
191,12.2,59.0,Yes,45,Fail
192,8.6,84.2,No,98,Pass
193,6.8,81.9,No,56,Fail
194,14.8,73.3,No,83,Pass
195,4.9,97.3,No,80,Fail
196,12.3,72.8,No,52,Fail
197,14.2,55.3,No,76,Pass
198,7.6,85.0,Yes,93,Fail
199,7.3,78.3,Yes,98,Fail
200,10.0,95.2,No,89,Fail
201,11.3,67.6,Yes,79,Pass
202,13.1,88.4,Yes,80,Pass
203,11.5,52.0,No,42,Fail
204,12.8,54.5,No,60,Fail
205,6.1,56.6,No,73,Fail
206,7.3,58.2,No,91,Pass
207,14.4,90.2,No,44,Pass
208,15.6,93.0,No,94,Fail
209,8.4,89.5,Yes,56,Pass
210,9.5,83.6,No,77,Pass
211,11.7,68.6,Yes,70,Pass
212,14.6,78.1,Yes,81,Pass
213,13.9,95.5,No,81,Pass
214,5.7,97.3,No,71,Pass
215,6.8,76.9,No,69,Fail
216,15.4,84.8,No,77,Fail
217,5.9,70.7,Yes,93,Fail
218,8.9,97.6,Yes,84,Pass
219,9.3,97.5,No,46,Fail
220,8.4,95.1,No,43,Fail
221,6.3,56.1,No,45,Fail
222,11.7,79.9,Yes,43,Fail
223,6.9,56.3,Yes,44,Fail
224,10.7,79.3,Yes,61,Fail
225,13.5,79.8,No,94,Fail
226,15.9,77.0,Yes,47,Fail
227,4.3,50.7,Yes,77,Fail
228,6.1,52.6,No,73,Pass
229,4.8,72.4,No,72,Fail
230,9.4,61.1,Yes,86,Fail
231,14.4,76.1,No,81,Fail
232,4.7,73.9,No,67,Fail
233,9.9,95.5,Yes,97,Pass
234,11.3,53.3,No,79,Fail
235,10.6,66.3,No,69,Pass
236,9.2,89.7,Yes,94,Fail
237,14.5,77.6,Yes,67,Pass
238,6.7,66.9,No,65,Fail
239,5.1,71.3,No,63,Fail
240,12.2,73.7,Yes,93,Pass
241,9.2,87.2,No,91,Pass
242,4.7,97.8,No,82,Pass
243,8.2,83.3,No,95,Fail
244,4.6,64.4,No,62,Pass
245,10.1,57.7,No,54,Fail
246,8.2,77.8,Yes,88,Pass
247,6.7,71.5,Yes,78,Fail
248,14.0,63.4,Yes,57,Fail
249,7.7,67.0,Yes,51,Fail
250,10.8,70.0,Yes,87,Fail
251,4.4,87.3,Yes,64,Fail
252,8.1,68.5,No,89,Fail
253,11.2,94.2,Yes,50,Fail
254,4.6,54.1,No,82,Fail
255,11.3,70.7,Yes,88,Pass
256,8.1,55.5,No,73,Fail
257,4.5,69.8,Yes,40,Pass
258,15.3,88.4,No,58,Pass
259,4.1,87.4,Yes,48,Fail
260,12.4,75.0,No,44,Fail
261,12.9,71.8,No,98,Pass
262,7.8,71.5,No,85,Fail
263,7.5,70.3,No,50,Fail
264,11.4,91.6,No,45,Fail
265,5.3,71.8,No,73,Pass
266,14.4,87.3,Yes,61,Pass
267,4.9,81.7,Yes,97,Fail
268,8.2,97.9,Yes,55,Pass
269,7.1,58.7,Yes,88,Fail
270,4.9,97.6,No,69,Fail
271,13.1,72.4,No,95,Fail
272,7.8,72.0,No,68,Fail
273,13.6,79.6,No,72,Pass
274,9.5,51.9,No,93,Pass
275,11.7,98.9,Yes,79,Pass
276,8.6,79.0,Yes,68,Fail
277,10.9,59.4,No,72,Pass
278,4.7,55.2,No,85,Pass
279,11.8,52.0,No,68,Pass
280,11.3,68.2,No,64,Pass
281,8.1,79.9,No,44,Fail
282,10.7,69.3,No,86,Fail
283,15.6,80.1,Yes,61,Pass
284,12.0,95.8,No,81,Fail
285,8.7,79.8,Yes,59,Pass
286,11.7,66.4,Yes,82,Fail
287,15.4,99.9,Yes,81,Pass
288,10.1,50.9,No,51,Fail
289,8.1,88.3,Yes,54,Fail
290,5.9,64.8,Yes,72,Fail
291,14.0,94.2,Yes,82,Pass
292,13.2,56.6,No,49,Pass
293,14.0,88.6,Yes,86,Pass
294,8.9,83.8,Yes,68,Fail
295,13.0,89.2,Yes,74,Pass
296,15.6,89.2,Yes,63,Pass
297,10.8,72.0,No,89,Pass
298,10.3,98.3,Yes,91,Pass
299,14.5,52.6,No,95,Pass
300,15.2,85.6,Yes,58,Pass
301,5.9,72.5,Yes,93,Fail
302,15.4,61.1,No,96,Pass
303,4.3,52.7,No,55,Fail
304,5.0,61.2,No,99,Pass
305,12.6,66.8,Yes,48,Pass
306,15.0,73.6,Yes,88,Fail
307,9.4,50.3,Yes,41,Pass
308,14.0,77.4,No,47,Fail
309,6.9,56.1,Yes,66,Fail
310,11.5,53.1,No,78,Pass
311,11.6,78.8,Yes,58,Pass
312,11.4,62.0,No,51,Fail
313,5.0,98.7,Yes,73,Fail
314,13.4,75.4,Yes,64,Fail
315,4.5,69.3,No,56,Fail
316,8.3,53.4,Yes,86,Fail
317,5.2,79.1,No,48,Pass
318,10.6,90.7,Yes,93,Pass
319,9.6,84.8,Yes,91,Pass
320,12.6,97.2,Yes,58,Pass
321,13.5,94.3,No,99,Pass
322,8.8,90.8,No,56,Pass
323,11.8,64.3,Yes,95,Fail
324,7.3,90.0,No,96,Fail
325,9.3,97.8,No,51,Fail
326,10.0,96.2,No,91,Pass
327,9.1,71.5,Yes,74,Pass
328,5.2,66.4,No,59,Fail
329,12.6,58.3,No,62,Pass
330,12.7,95.6,No,57,Fail
331,13.5,52.9,No,63,Pass
332,13.0,58.0,Yes,49,Fail
333,12.1,71.9,Yes,44,Pass
334,11.7,68.1,Yes,78,Pass
335,9.4,68.5,No,88,Pass
336,5.7,68.3,No,81,Pass
337,15.5,51.3,Yes,71,Pass
338,15.0,55.9,No,85,Pass
339,16.0,64.3,No,52,Pass
340,14.2,72.6,No,45,Fail
341,15.6,99.3,No,85,Pass
342,10.5,94.6,Yes,85,Pass
343,12.4,58.7,No,72,Pass
344,15.8,89.6,Yes,90,Pass
345,8.3,78.6,No,91,Fail
346,5.6,94.2,Yes,59,Fail
347,12.6,73.9,No,89,Pass
348,10.9,56.3,No,81,Pass
349,9.6,75.9,Yes,96,Fail
350,10.6,79.4,Yes,67,Pass
351,14.4,91.6,Yes,59,Pass
352,7.9,85.5,No,100,Fail
353,14.7,92.3,No,52,Fail
354,10.6,56.3,No,79,Pass
355,10.0,58.4,Yes,50,Fail
356,12.6,80.3,Yes,92,Pass
357,5.0,97.4,No,81,Pass
358,10.9,80.9,Yes,71,Pass
359,10.5,82.1,No,70,Pass
360,13.7,70.3,No,44,Fail
361,5.9,70.8,No,53,Fail
362,5.7,93.1,No,86,Fail
363,8.1,69.9,No,72,Pass
364,7.8,73.3,No,68,Pass
365,5.2,64.5,No,95,Fail
366,7.0,93.3,Yes,92,Fail
367,10.9,65.6,Yes,71,Fail
368,9.6,94.0,No,41,Pass
369,8.7,72.9,Yes,53,Fail
370,4.6,64.1,No,58,Fail
371,14.2,71.5,No,86,Pass
372,8.8,52.3,Yes,76,Pass
373,8.4,64.4,No,72,Pass
374,10.6,91.3,Yes,48,Fail
375,8.7,89.7,No,75,Fail
376,13.1,60.0,No,72,Pass
377,4.5,85.7,No,73,Fail
378,11.3,75.8,No,99,Fail
379,6.0,99.5,No,77,Fail
380,13.9,76.6,No,70,Fail
381,8.4,83.7,No,77,Pass
382,14.8,93.6,Yes,78,Pass
383,15.6,89.1,Yes,86,Pass
384,9.8,76.2,No,49,Fail
385,6.9,78.6,Yes,52,Pass
386,7.8,57.6,Yes,66,Fail
387,11.3,73.6,Yes,85,Pass
388,6.5,66.3,No,73,Fail
389,15.5,73.0,No,74,Pass
390,13.3,86.0,No,79,Pass
391,15.5,64.0,No,54,Fail
392,15.8,88.6,Yes,84,Pass
393,7.8,67.4,No,58,Pass
394,12.1,69.0,No,92,Pass
395,13.3,57.3,Yes,58,Fail
396,4.9,96.2,No,87,Fail
397,6.4,76.9,No,48,Pass
398,12.9,62.0,Yes,82,Fail
399,6.7,61.6,Yes,66,Fail
400,9.7,84.1,Yes,40,Fail
401,15.7,57.9,No,70,Fail
402,13.1,64.4,No,81,Pass
403,13.2,82.6,Yes,74,Pass
404,14.2,51.9,Yes,66,Fail
405,6.1,96.0,No,90,Fail
406,15.2,98.1,No,96,Pass
407,7.6,80.1,No,58,Fail
408,11.7,76.2,Yes,94,Pass
409,7.3,90.4,No,50,Fail
410,11.8,85.9,Yes,87,Pass
411,7.5,83.7,Yes,51,Fail
412,11.7,70.3,No,72,Pass
413,8.8,54.8,Yes,70,Pass
414,7.0,63.0,Yes,68,Fail
415,15.4,65.1,Yes,56,Fail
416,12.3,53.1,Yes,69,Pass
417,8.9,75.1,No,84,Pass
418,15.0,64.8,Yes,54,Fail
419,9.7,72.7,No,66,Fail
420,15.0,87.9,Yes,88,Pass
421,13.1,93.7,Yes,73,Pass
422,12.4,53.9,Yes,43,Fail
423,14.8,60.1,Yes,50,Fail
424,10.2,55.8,Yes,85,Pass
425,5.1,75.5,Yes,69,Pass
426,9.0,78.2,No,83,Fail
427,12.7,69.8,Yes,87,Pass
428,4.9,71.2,Yes,74,Fail
429,15.2,53.5,No,42,Pass
430,6.2,56.8,No,63,Fail
431,8.6,93.5,No,64,Pass
432,15.6,93.7,Yes,81,Pass
433,5.4,99.6,No,73,Pass
434,15.7,91.7,Yes,59,Pass
435,12.6,71.2,No,92,Pass
436,9.5,57.8,Yes,99,Fail
437,13.2,51.6,No,79,Fail
438,14.6,50.8,Yes,44,Pass
439,4.4,79.9,Yes,55,Fail
440,8.8,61.7,Yes,88,Fail
441,4.7,75.2,No,54,Fail
442,12.8,65.9,No,55,Fail
443,5.7,83.0,Yes,66,Fail
444,4.7,97.4,Yes,80,Fail
445,10.7,52.3,No,100,Fail
446,8.6,76.2,No,66,Pass
447,8.5,87.7,No,55,Fail
448,7.6,85.4,No,98,Pass
449,9.0,70.8,Yes,64,Pass
450,6.4,82.3,No,94,Fail
451,10.4,91.5,Yes,57,Pass
452,11.3,52.0,Yes,52,Fail
453,11.1,83.6,Yes,70,Pass
454,14.9,65.2,Yes,53,Fail
455,15.5,55.9,No,98,Pass
456,11.3,60.2,Yes,75,Pass
457,7.4,73.3,No,59,Pass
458,10.2,74.9,Yes,91,Fail
459,9.6,92.0,Yes,63,Pass
460,4.5,93.2,Yes,41,Pass
461,15.2,79.0,No,58,Pass
462,8.0,69.0,Yes,71,Fail
463,15.3,66.9,No,86,Fail
464,9.9,58.4,No,50,Pass
465,10.6,59.2,Yes,73,Pass
466,14.2,97.3,Yes,88,Pass
467,5.6,81.5,Yes,85,Pass
468,6.6,72.8,Yes,79,Fail
469,15.2,95.6,No,41,Pass
470,10.6,50.6,No,74,Fail
471,4.2,90.7,No,91,Fail
472,6.2,95.9,Yes,55,Pass
473,10.3,90.8,No,90,Pass
474,8.5,70.3,Yes,84,Pass
475,12.2,92.4,Yes,45,Fail
476,8.5,73.8,Yes,84,Pass
477,10.0,71.7,No,76,Fail
478,15.7,94.7,Yes,54,Pass
479,14.4,94.4,No,57,Pass
480,4.9,96.3,Yes,51,Fail
481,7.8,98.1,Yes,88,Fail
482,13.9,96.4,No,50,Fail
483,10.8,92.5,No,64,Fail
484,5.7,99.4,Yes,72,Fail
485,8.2,54.9,Yes,93,Pass
486,11.3,80.7,No,89,Pass
487,11.6,89.2,No,71,Pass
488,10.6,68.8,Yes,83,Pass
489,8.6,88.6,No,91,Pass
490,4.9,63.4,No,85,Fail
491,5.9,69.5,No,46,Pass
492,15.3,72.2,No,46,Pass
493,6.2,72.4,No,46,Pass
494,8.2,54.7,No,95,Pass
495,7.5,69.4,Yes,86,Fail
496,14.9,98.9,Yes,83,Pass
497,5.7,65.1,No,49,Pass
498,9.2,71.1,No,90,Pass
499,7.0,62.3,No,78,Fail
500,9.5,56.8,Yes,100,Pass
